,date,data,result
0,2022.05.31 00:00:29,희망잇냐  ,희망
1,2022.05.31 00:00:39,웨이브 USDN 고래 청산안 투표 통과로 30%↑ ㅇㅇ,웨이브 USDN 고래 산안 투표 통과 30 %↑ ㅇㅇ
2,2022.05.31 00:00:39,진짜 이번에도 잃으면 나 죽는다. 롱에 풀베팅했다.. ,진짜 으면 는다
3,2022.05.31 00:01:21,고아원 보내기 전에 짜장면 사주는 거지. 코인은 끝났다. ,고아원 보내 짜장면 코인
4,2022.05.31 00:01:52,나보다 대학 못나온사람 ㅅ ㅂ 난 중대 ㅋ,보 대학 나온 사람 중대
5,2022.05.31 00:02:35,청산가 직전 마진짤짤이  기가막히게 쳐오르는게 신기하노 ㅋㅋ 과학인가 ㅅㅂ,청산 직전 마진 짤짤이 막히 오르 신기 과학 인가
6,2022.05.31 00:02:47,롱 또탔어 아까탄거 약익절햇고 ,아까
7,2022.05.31 00:03:36,중앙대 나보다 안좋은대학다니는사람 ㅋ,중앙 보 대학 다니 사람
8,2022.05.31 00:04:40,뭐랬노내가 웨이브 수렴중이라했제...,웨이브 수렴 .
9,2022.05.31 00:05:22,7230 롱버티면 고점박으러간다 ㄱㄷ,7230 버티 고점 으러 간다
10,2022.05.31 00:06:46,아웃소싱 끼던 안끼던 일용직 임금은 동일해?  ?,아웃소싱 일용직 임금 동일
11,2022.05.31 00:07:07,선물 롤 맛있노 300불 시작 > 6500불 달성ㅋ 3000불 빼고 나머지로 노는중 lit로 20000불 먹을예정ㅋㅋ수고 ,선물 맛있 300 시작 6500 달성 3000 나머지 lit 20000 예정 수고
12,2022.05.31 00:07:41,지금.숏치고 자면 되지? 내일 아침 29~29.5 예상한다. 늘 그래왔으니깐 과감하게 10배 숏 하고 자러 간다. 내일 아침에 웃으면서 하루 시작하겠지?,지금 내일 아침 29 29 예상 한다 그래 으니깐 과감 10 간다 내일 아침 으면서 하루 시작
13,2022.05.31 00:08:02,숏들어갑니다 2월달 선물 시작해서 전쟁나기전에 링크코인 15배 숏 3달동안 들고있어서 300 -> 2600만원 만들고 코인 많이 떨어지면 롱잡을려고 했으나아직까지 떨굴려면 많이 남아보이는데 10프로이상 알트코인 올라서 에이다 0.5320달러에 3배 숏잡음현금 20%만 들어갔고더 올라가면 30% 50% 추가 숏잡을 예정 아직 고래들은 줍지 않았다,들어갑니다 선물 시작 해서 전쟁 나기 링크 코인 어서 300 -> 2600 만들 코인 많이 떨어지 을려고 했으나 아직 떨굴 려면 많이 보이 10 프로 알트 코인 올라서 에이다 5320 잡음 현금 20 들어갔 올라가 30 추가 예정 아직 고래
14,2022.05.31 00:08:36,관점 적어주고 간다. 머 사람마다 생각이 다를순 있는데.일단 하나만 말하면일봉 오늘 오른건 사실이나.롱이다! 파멸적 상승이다.이건 좀 지켜보는게 좋겠다.한 하루나 이틀정도그러기 싫음 타도 안말림.원래 이바닥에 확실한건 없다지만그래도 높은 확율은 있어서그 높은 확율이 나오기엔아직은 아닌거 같아.어차피 기다린거 좀더 기다릴수 있자너?그리고 만약 아주 좋은 방향으로 간다면그 힘은 쉽게 안꺾인다고 생각해.그럼 그때가서 타면 되지.이 바닥은 원래 속임수가 가득한 판이라서그리고 좀 치는 사람들은 원래 알아서잘 모았을꺼구.나 같이 헐레벌떡 뛰어온 사람일수록.더 신중해야한다봐.나는 아직은 잘 모르게써.,관점 간다 사람 마다 생각 다를 일봉 오늘 오른 사실 이나 파멸 상승 이건 지켜보 하루 이틀 정도 그러 타도 말림 원래 바닥 확실 다 어서 나오 아직 아닌 어차피 기다린 기다릴 아주 방향 간다면 꺾인 다고 생각 바닥 원래 속임수 가득 라서 사람 원래 아서 모았 헐레벌떡 뛰어온 사람 일수록 신중 해야 한다 아직 모르
15,2022.05.31 00:09:31,리저브 더 오르진않겠지 편단0.008127 숏 자러간다 굿밤,리저브 오르 편단 008127 간다
16,2022.05.31 00:11:02,연봉8천인데 좋아해줄 여자 있냐? 나 대머리인데?그래도 있을라나? ㅋㅋㅋ,연봉 인데 좋 여자 대머리 인데 을
17,2022.05.31 00:11:27,웨이브 투표 통과되서 이제 다시 원래 가격찾는거냐? ㅇㅇ?,웨이브 투표 통과 이제 원래 가격 ㅇㅇ
18,2022.05.31 00:11:41,숏세력님들 공연 잘봤습니다 퇴장은 이쪽입니다~ 다음 롱 세력님들 입장하시겠습니다~,세력 공연 퇴장 입니다 세력 입장
19,2022.05.31 00:12:24,루나c 바낸에서 거래중이네? 오늘 상장해서 상장빔 한번 쏜건가,루나 거래 오늘 상장 해서 상장 건가
20,2022.05.31 00:13:15,워뇨띠 숏으로 스위칭 나 롱잡고 잇는데 바꿔야되나 ㅅㅂ,스위칭 바꿔야
21,2022.05.31 00:15:26,푸틴 사망 찌라시 돌던데 사실이냐.. 영미권 뉴스에 나왓다던데..사실이면 전쟁끝~ 호재중 대호재???,푸틴 사망 던데 사실 영미 뉴스 나왓 다 사실 전쟁 호재 호재 ?
22,2022.05.31 00:15:29,여기 병들고 지능떨어지는 ㅄ들 존나 많더라 씨발 맨날 95년생 9X년생 보라고 해서 아이돌 처물어보는 등신도 있고라면 끓이고 평가받을라는 병신도 있고돈달라는 애원금주면 똥처먹는다는 새끼있고 이새끼는 처먹고 디졌는지 잘 안보이고나봉이 사진 맨날 처올리는 병신이랑휴거 외치는 병신세상이 이리 병신이 많네 아 홍금보도 있음,병 지능 떨어지 ㅄ들 더 맨날 95 라고 해서 아이돌 등신 라면 끓이 평가 라는 라는 원금 처먹 는다는 처먹 는지 보이 사진 맨날 올리 이랑 휴거 외치 세상 이리 홍금보
23,2022.05.31 00:16:08,국내에서 루나 조사들어갔는데 이거 안좋은거 나올때마다 코인가격 나락갈듯;,국내 루나 조사 들어갔 나올 마다 코인 가격 나락
24,2022.05.31 00:17:03,이자리에서 숏을 본다고? ㅋㅋㅋ 개웃기네,자리 본다고 개웃 기네
25,2022.05.31 00:18:10,탈모 강동원 vs 풍성 김광규 누가 승>,탈모 강동원 vs 풍성 김광규
26,2022.05.31 00:20:17,웨이브 ㅋㅋㅋㅋㅋㅋㅋ ㅇ ,웨이브
27,2022.05.31 00:20:34,Usd는 롱 확실함 장담한다 김치코인은 모르겠다 오르면 그냥 우주로켓인데 내리면 계단식 하락올듯,Usd 확실 장담 한다 김치 코인 모르 오르 그냥 우주 로켓 인데 내리 계단식 하락
28,2022.05.31 00:20:49,웨이브 새벽에 혼틈 쏜닼ㅋㅋㅋㅋ ㅇㅌ,웨이브 새벽 ㅇㅌ
29,2022.05.31 00:20:56,우리나라 대통령이 술통령인거 알고나 잇냐 ㅅ서초동 2차가자 ㄱㄱㄱㄱㄱ술과관련된 코인이 뭐냐???,나라 대통령 통령 초동 관련 코인 ?
30,2022.05.31 00:21:25,야 리플 출금 처리 왤캐 안되냐? ,리플 출금 처리 왤캐
31,2022.05.31 00:22:07,걍 이쯤 했으니 오늘은 자러 간다 ㅎ 오늘 횡보하는 자리라서 뭐 매수할게 없노차트 체크만 하고 걍 자련다디비전도 거래량 죽이고 호재들 하나씩 쏘면서 개미들 털고 갈 그림이네딱 저번 코인베이스 커스터디 후 상장하면서 개미들 안 태우고 올라간 패턴이거 분석한다고 며칠 고생했네 시부레,했으니 오늘 간다 오늘 횡보 자리 라서 매수 차트 체크 자련 디비전 거래량 죽 호재 면서 개미 그림 저번 코인 베이스 스터디 상장 면서 개미 태우 올라간 패턴 분석 한다고 며칠 고생 부레
32,2022.05.31 00:22:13,솔라나 ㅅㅂ ㄹㅇ장애인 고아 자폐아 코인인듯 다 오르는데 0.6%오른거봐 ㄹㅇ 개병신코인 ,솔라나 ㅇ장애인 고아 자폐아 코인 오르 오른 개병 신코
33,2022.05.31 00:24:16,웨이브 소각 이거 쇼 아니여? 멀쩡한 고래들 꺼를무슨 근거로 소각시킨다는거임?이거 가능함?,웨이브 소각 멀쩡 고래 근거 소각 시킨다는 가능
34,2022.05.31 00:26:23,오늘 장 정도면 ㅈㄴ 불장임? ㅈㄴ 짜릿하노 ,오늘 정도 불장 짜릿
35,2022.05.31 00:26:39,매일 걍 바낸에서 150달러 출금하는거 목표로 해야겠다 그날 잃든 따든 150달러는 무적권 출금,매일 150 출금 목표 해야 그날 150 무적 출금
36,2022.05.31 00:27:34,코린이 2불에서 17불로 불림 ㅁㅌㅊ 쥐좆시드 딱좋노 ,코린 17 불로 불림 ㅌㅊ 시드
37,2022.05.31 00:28:20,나처럼 12시8시4시 등에 급등 종목 단타충 있음?? 오전이나 오후 단타는 지루하고해서정각에 급등 종목들 단타만 치는데안정적으로 10~20%는 먹으니까 한번씩해봐~급등이라 욕심만 안부리고 매도만 잘하면 절대 마이너스는 아님방금도 버거 스왑인가 그거 100으로 1분만에 20먹고 나왔음,처럼 12 급등 종목 단타 오전 이나 오후 단타 지루 해서 정각 급등 종목 단타 안정 10 20 으니까 급등 욕심 부리 매도 절대 마이너스 아님 방금 버거 스왑 인가 100 20 나왔
38,2022.05.31 00:28:38,고수는 지금 개잡코산다 ,고수 지금 산다
39,2022.05.31 00:29:40,여친 팬더에 손넣고 있다. 물이 흥건하다 여친의팬더가 내 손을 꽉 물고 안놔준다루자 도지에 넣엇!!!흐엌 현수야아앜 아앜 어엌 헉 잠깐만 미치겟ㅇ잠깐만 쉬엇다허억 헉헉허억 탕탕탕탕!!(문을 두드리는 소리)주인댁마님 : 저기 새댁 신혼인건 알겠지만 이거 너무한거 아니야                      우리도 잠을 자야 내일 일ㄹ 하지.. 요즘 젊은사람들은                       자기만 알아서 큰일이야,여친 팬더 흥건 여친 팬더 준다 루자 도지 ! 현수 야아 미치 ㅇ잠깐만 엇다 허억 허억 탕탕탕탕 ! 두 소리 주인댁 마님 새댁 신혼 너무                        내일 요즘 사람                        아서 큰일
40,2022.05.31 00:30:21,손꾸락 짤르라 집에 가야지?,짤르 야지
41,2022.05.31 00:31:37,이직도 코인하는사람들은 언제부터시작함 ,직도 코인 사람 시작
42,2022.05.31 00:31:45,코린이 거래량 관련 질문좀 거래량은 그냥 캔들의 신용정도로 파악하면 됨? ,코린 거래량 관련 질문 거래량 그냥 신용 정도 파악
43,2022.05.31 00:33:26,근데 왜 코인하는 애들은 거지가 많은거임? ,코인 거지
44,2022.05.31 00:33:34,웨이브쏘는데 퀀텀 뭐함? 웨이브 따까리 아니였냐? 퀀텀??  형님오르는데 따까리가 안오르노 하..,웨이브 퀀텀 웨이브 따까리 퀀텀 오르 따까리 오르
45,2022.05.31 00:33:56,[필독]지금 코인에 돈넣은 사람들은 큰일났다 곧있으면 내가 귀를 짤르러 갈거여 너 손목 못짜른다에 내 돈 다건다 아가야,필독 지금 코인 사람 큰일 으면 짤르 손목 짜른 건다 아가야
46,2022.05.31 00:35:03,자고일어나면 귀신같이 28k ,일어나 귀신 28
47,2022.05.31 00:35:12,루나 피해자복구하려면 액면병합 하면되는거아님? ,루나 피해자 복구 려면 액면 병합 아님
48,2022.05.31 00:36:16,지금 뭔코인사야함 ,지금 코인 사
49,2022.05.31 00:36:59,벨라 개나락 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂㅋㅋㅋㅋ ㅋㅋㅋ,벨라 나락
50,2022.05.31 00:37:11,지금 코인에 돈 들어가있으면 안됨!!!! ,지금 코인 들어가 으면 !!!
51,2022.05.31 00:37:15,도지데이가그립다 ,도지 데이 그립
52,2022.05.31 00:37:17,웨이브 사고 좆됐다 싶었는데 ,웨이브 사고
53,2022.05.31 00:37:40,루나 2.0 지금 저점이라 일단 사면 오름 난 안살거지만 ,루나 지금 저점 사면 오름
54,2022.05.31 00:37:42,코린인데 웨이브 익절할까요 아님 계속 기다려요? 와 순식간에 백만원 버니까돈이 돈같지도 않고 이게 먼가 싶네요...덜덜 떨리네요 이러다가 훅떨어지면 엄청 아깝끼도 할꺼같고기다리면 막 더 오를꺼 같기도 하고 ㄷㄷ,코린 인데 웨이브 할까요 아님 계속 기다려요 순식간 백만 니까 이게 먼가 네요 . 덜덜 떨리 네요 이러 다가 떨어지 엄청 아깝 할꺼 기다리
55,2022.05.31 00:38:24,지금 오르고 있는 이유 알려준다 손실보상 받은  소상공들  천만원 내지 600만원 받은걸로  코인에 올인중이라서 ㅋㄷㅋㄷㅋㄷ이거 ㄹㅇ 이다  나도 600받았지만 난 더이상 코인에 투자 하지 않기로 했다. ,지금 오르 이유 알려준다 손실 보상 상공 천만 내지 600 걸로 코인 인중 라서 600 코인 투자
56,2022.05.31 00:38:26,웨이브 내려와 십ㅃ빨 ,웨이브 내려와 ㅃ빨
57,2022.05.31 00:39:24,웨이브 줫망인데 잠깐환율떨어져서 글치 하락중임,웨이브 줫망 환율 떨어져서 하락 중임
58,2022.05.31 00:39:29,웨이브쏘는이유좀  알려주랴,웨이브 이유 알려
59,2022.05.31 00:39:39,루나 2.0도 클래식같이 바낸 오픈전까지 오르다 폭락할듯 찔끔찔끔 오르네지금도 ,루나 클래식 오픈 오르 폭락 찔끔찔끔 오르 지금
60,2022.05.31 00:40:41,나는 루나클래식 에어드랍 못받음? 업비트에서 바이낸스로 옮기다가 메모안적어서 묶여있던거 오늘 받아서 바이낸스에 넣었는데 나는 루나2.0 못받음? ,루나 클래식 에어드 업비트 바이 낸스 옮 다가 메모 어서 묶여 오늘 아서 바이 낸스 루나
61,2022.05.31 00:40:50,웨이브 7600입갤 ㅋ,웨이브 7600
62,2022.05.31 00:41:29,코린이 지정이랑 시장이랑 뭐가 다른가요? 전 항상 즉시구매 즉시판매 가능한 시장으로 사고파는데 지정은 뭔가요 ,코린 지정 이랑 시장 이랑 다른 항상 구매 판매 가능 시장 사고 지정 가요
63,2022.05.31 00:41:39,최민식 보다 연기력 쩌는 중견배우 있냐? ,최민식 보 연기력 중견 배우
64,2022.05.31 00:42:34,숏충이 치킨값 벌려다 일당 벌게생겼다 질질싼다 ,충이 치킨 벌려 일당 생겼 질질 싼다
65,2022.05.31 00:42:34,웨이브 물린거 ㅋㅋㅋ점점 복구중 갈길이머네 ,웨이브 물린 점점 복구
66,2022.05.31 00:42:39,휴 리플 한시간 반만에 출금처리됬노 리플 오래 타 있을 생각 1도 없었는데 갑자기 장대음봉 박힐까봐 벌벌 떨었다.,리플 출금 처리 리플 오래 생각 갑자기 장대 음봉 박힐 까 벌벌
67,2022.05.31 00:43:50,웨이브 9000가까이 간다 내가 물려봐서 암,웨이브 9000 가까이 간다 물려 봐서
68,2022.05.31 00:44:47,루나 7달러 돌파 ㅇㅇ,루나 돌파 ㅇㅇ
69,2022.05.31 00:44:57,웨이브/카이버 전부 놓친게이들 마지막 픽준다. ,웨이브 카이 놓친 마지막 준다
70,2022.05.31 00:45:44,웨이브 7685 탑승완료 가즈아 ㅅㅅㅅㅅㅅㅅ ,웨이브 7685 탑승 완료 가즈
71,2022.05.31 00:45:52,에이브는 웨이브랑 이름비슷해서 오르는거냐? ,이브 웨이브 이름 비슷 해서 오르
72,2022.05.31 00:46:16,루나 언제들어와아아아 나만안들아왔냐 luna,루나 들어와 아아아 luna
73,2022.05.31 00:46:19,웨이브 들어가고싶은데 깡이안됨 ㅋㅋ 잘먹어라 러시아코인 ,웨이브 들어가 은데 어라 러시아 코인
74,2022.05.31 00:46:25,웨이브 씨발년아 내돈 다 가져가라 내 500불 ㅠ ,웨이브 가져가 500
75,2022.05.31 00:46:41,안락사 허용하면 신청할사람 추천 눌러봐라 조사들어간다,안락사 허용 신청 사람 추천 눌러 조사 들어간다
76,2022.05.31 00:47:03,니네 누나랑 합체오줌 해봤냐? 나는안해봤는데,누나 합체 오줌
77,2022.05.31 00:47:03,빗썸 웨이브는 왜 업빗보다 300원더 비싸냐 뭐지?,웨이브 보 300 비싸
78,2022.05.31 00:47:35,코린이 선물로 시드90퍼 날려먹고 퇴장^^; 마지막 10만원 50배 해놓고 퇴장빚만 또 늘었죠 ㅠㅠ,코린 선물 시드 90 날려 퇴장 ^^; 마지막 10 퇴장 ㅠㅠ
79,2022.05.31 00:48:20,형들 근데 신현성 저 사람도 사기꾼인거 맞지? 언론에는 권도형인가 그 사람만 계속 나오던데신현성도 사기꾼인 것 같은데신현성 저 사람 예전에 무슨 CEO라고 유튜브에 엄청 나오고했는데사기꾼이였나,신현성 사람 사기 언론 권도형 인가 사람 계속 나오 던데 신현성 사기 은데 신현성 사람 예전 CEO 라고 유튜브 엄청 나오 사기
80,2022.05.31 00:48:25,스테픈 이거 신발사서 걷는거 돈좀됨? ,스테픈 신발
81,2022.05.31 00:48:48,근데 렌코 차트 보면 저점깨는게 존나 힘들꺼 같긴해. ㅇㅇ..외적으로 악재는 많지만.차트적으로 무적의 방어라인.결사 방어라인 아닐까,차트 저점 ㅇㅇ 악재 차트 무적 방어 라인 결사 방어 라인 아닐까
82,2022.05.31 00:49:04,워이ㅣ브씨발놈아 왜올랑 ㅇ? 뒤져개새끼야 ,씨발놈 올랑 뒤져 새끼야
83,2022.05.31 00:49:28,바낸에 루나클래식 선물생긴다 오늘생김 ,루나 클래식 선물 생긴다 오늘 생김
84,2022.05.31 00:50:44,김치새끼들 웨이브 타고 위믹스 매수하는데 바로내려감 으이구ㅋㅋㅋ,김치 웨이브 위믹스 매수 내려감 으이구
85,2022.05.31 00:50:44,비트 선물만 하련다 알트 씹 멘날 개쳐물리거나 개미털려서 찔끔 먹거나임.알트 나랑 너무 안 맞는다. 비트 저배로 놀아야지,비트 선물 련다 알트 물리 거나 개미 털려서 찔끔 거나 알트 너무 는다 비트 저배 아
86,2022.05.31 00:51:20,1억 매수했는데 -6천이다 씨발 복구되냐? ,매수 복구
87,2022.05.31 00:51:30,야 시발 여자 웃는소리났는데 뭐야이거 ,여자 소리
88,2022.05.31 00:51:39,웨이브 루나꼴나고 usdn패깅깨져 상폐확정이란새끼들 어디갓노 ㅋㅋㅋ 웨이브 루나꼴나고 usdn패깅깨져 상폐확정이란새끼들 어디갓노 ㅋㅋㅋ 닉네임 흑마완인가 그새기랑 여러명잇엇는데  입꾹닫ㅋㅋㅋ병신들ㅋㅋㅋㅋㅋ ,웨이브 루나 usdn 깅 확정 웨이브 루나 usdn 깅 확정 닉네임 마완 인가 새기
89,2022.05.31 00:52:50,20살은 어떤 나이냐? 진짜로 무엇이든 가능할순 있는나이냐? 세상에 무언갈 하기에 늦은 때는 없다. 지금이 가장 빠를때다. 라고 하지만  30살이 넘어가고 가정이 생기고 부모님이 아파지신다면 각종 나에게 책임질것들이 점점 생기고 더이상 나 하나가 무너질때 무너지는 사람들이 나 하나만이 아닌 순간이 올거라고 생각하거든 그때가 되서 나는 무언갈 하겠어 라고 내 두손을 탁 놔버릴수 있을까 ? 내 생각에 20살은 책임질것이 없고 시간이 많아서 다들 무엇이든 가능할 수 있다 라고 하는거같아 세상이 무너져도 하루 2시간씩 코딩공부를 한다면 대학교 4학년을 보내면 적어도 2800시간 코딩 공부한 사람이 되는거잖아 하루 15시간씩 반년이면 하겠지만 ㅇㅅㅇㅋㅋ 이렇게 보니깐 되게 적게 공부하는거긴 하네 내인생 어떡하냐 망한건가  -지잡대 정보통신학과 하루 1시간 공부조차 지키기 힘든 ADHD 잔고 16만원 20살- ,20 나이 가능 할 나이 세상 무언갈 지금 가장 빠를 라고 30 넘어가 가정 생기 부모 아파 신 책임 점점 생기 무너질 무너지 사람 아닌 순간 라고 생각 거든 무언갈 라고 버릴 을 생각 20 책임 아서 가능 라고 세상 무너져도 하루 코딩 공부 대학교 학년 보내 적어도 2800 코딩 공부 사람 하루 반년 ㅇㅅㅇㅋㅋ 니깐 되게 공부 인생 어떡 망한 건가 정보통 신학 하루 공부 지키 힘든 ADHD 잔고 16 20
90,2022.05.31 00:54:46,웨이브 루나꼴나고 usdn패깅깨져 상폐확정이란새끼들 어디갓노 ㅋㅋㅋ 닉네 웨이브 루나꼴나고 usdn패깅깨져 상폐확정이란새끼들 어디갓노 ㅋㅋㅋ 닉네임 흑마완인가 그새기랑 여러명잇엇는데  스테이블코인이니 어쩌니 병신들개소리를 ㅈ길게도 적더니 ㅋㅋㅋㅋ 입꾹닫ㅋㅋㅋ병신들ㅋㅋㅋㅋㅋ ,웨이브 루나 usdn 깅 확정 웨이브 루나 usdn 깅 확정 닉네임 마완 인가 새기 스테이 코인 어쩌 개소리 더니
91,2022.05.31 00:54:51,하도 웨이브 내린게있어서 숏쳤는데 시발 이럴때는 존나 잘가요 시발~,하도 웨이브 내린 어서 이럴 가요
92,2022.05.31 00:55:00,들어가자 ! 이더리움 가즈아 알트~ ,들어가 이더리움 가즈 알트
93,2022.05.31 00:55:46,바이낸스 어플에서 손익 확인하는 경로가 어떻게되나요? 선물거래로 지금까지 얻은 마진율을 확인해보고싶은데 어떤 경로에서 볼 수 있을까요.참고로 아이폰 사용중입니다.,바이 낸스 손익 확인 경로 나 선물 거래 지금 마진 확인 은데 경로 을까요 참고 아이폰 사용 입니다
94,2022.05.31 00:56:02,웨이브 숏충이 대가리뜨끈뜨끈해지것노,웨이브 충이 대가리 뜨끈뜨끈
95,2022.05.31 00:56:08,헐.. 웨이브 .. 뭐. .졸라 개호재네 ㅋㅋㅋ 와 . 뉴스봐라 ㅋㅋ ㅋㅋㅋ,웨이브 졸라 개호 뉴스
96,2022.05.31 00:56:12,지방중소기업은 아직도 초봉2500~2600이 많네요 ;;  ,지방 중소기업 아직 초봉 2500 2600 네요 ;;
97,2022.05.31 00:56:32,웨이브 일봉을봐라컄ㅋㅋㅋㅋㅋㅋ 더간다 ,웨이브 일봉 컄ㅋㅋㅋㅋㅋㅋ 간다
98,2022.05.31 00:56:43,권도형 단독으로 작전이 불가능하지? 배경이 누군지ㅋㅋ,권도 단독 작전 가능 배경 누군지
99,2022.05.31 00:57:00,웨이브 지금 들어가도 안늦음 9000가까이가거나 넘음,웨이브 지금 들어가 9000 가까이 거나
100,2022.05.31 00:57:06,로리야짤 디시에 올려서 수사받으러 간다... ,로리 디시 올려서 수사 으러 간다 .
101,2022.05.31 00:57:19,숏치세요. 코인 3년차에요. 하락 다이버젼스 떴고 조정이 너무 안나왔습니다.내일 까지는 지지선까지 조정받다가 30k부근까지 올라갈것 같네요.여기서 롱치라하는인간들은 진짜 악마인가요?여기 얘들말 듣고 롱 치다 인생 골로가지말고선물 레버리지 적게 잡고 3배 5배사이숏치세요.에휴 동생놈이 자꾸 비트갤러리 보길래 잠깐 봤는데 개판이네요.,세요 코인 하락 다이버 조정 너무 나왔 내일 지지 조정 다가 30 부근 올라갈 네요 인간 진짜 악마 인가요 인생 선물 레버리지 배사이 세요 에휴 동생 자꾸 비트 갤러리 길래 개판 네요
