,date,data,result
0,2022.06.18 00:00:43,러시아 휴전빔 웨ㅇ브ㅅㅅ ㅎ  ㅇ ,러시아 휴전
1,2022.06.18 00:00:43,웨이브 극락가는데 나락간다고 헛소리하는 놈 없제 ㅋㅋ? 개미털기에 매번 속은 과테말라붉은흑개미 인증하는거 아니제 ㅋㅋ? ,웨이브 극락 나락 헛소리 개미 털기 과테말라 흑개 인증
2,2022.06.18 00:01:19,이럴거면 왜올렸어 나스닥빔ㅋㅋ 이씨발년아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,나스닥
3,2022.06.18 00:01:51,애미 시발련아 이게 맞아?   ,애미 발련
4,2022.06.18 00:02:19,그냥 2배롱하면 되는거아님? 10k 까지 떨어지면 나만 자살하는건 아닐테니까 2배롱하고 펀비 먹으면되는거 아닌가  ,그냥 배롱 떨어지 자살 배롱
5,2022.06.18 00:02:32,웨이브 미친 ㅋㅋㅋ개쏘네 ㅋㅋㅋㅋ ㅇㅇ ,웨이브
6,2022.06.18 00:03:01,금리 인상 칙칙 폭폭...jpg 겁도 없이 금리 인상 앞에두고 존버한단말이야?금리 인상 앞에 존버하면 어떻게 되는지 가르쳐주자 ,금리 인상 칙칙 폭폭 없이 금리 인상 한단 금리 인상
7,2022.06.18 00:03:09,웨이브 개쏠듯 밤새... 힘좋네 왠지 아침되면 8000원 넘어가있을거같네 ,웨이브 밤새 아침
8,2022.06.18 00:03:46,나스닥 음봉가기 5분전 ㅋㅋㅋㅋㅋㅋㅋㅋ ,나스닥 음봉
9,2022.06.18 00:03:54,세계대공황 극복빔ㅡㅡㅡ너와나우리빔ㅡㅡㅡㅡ 후우... 롱포지션 잡았다가 개 쫄았네 ,세계 공황 극복 후우 포지션
10,2022.06.18 00:04:00,20.400에 사서 21000에 팔기 무한반복하면 되는듯 ㅋㅋㅋㅋㅋ 은근 세력도 개 호구새끼임 ,무한 반복 은근 세력 호구
11,2022.06.18 00:04:05,숏세력 털리는중ㄷ ㄷ 연쇄청산 및 손절중 ㅇ ,세력 털리 연쇄 청산 손절
12,2022.06.18 00:04:38,나스닥 음봉이네 ㅋㅋㅋ 시발 진짜 이게 맞냐? ,나스닥 음봉 진짜
