,date,data,result
0,2021.10.27 00:00:04,애초에 대가리가 있으면 솔브케어가 아마존이겠냐 ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ니미 씨발지나가다 코인 모르는 사람도아마존이랑 파트너쉽은 구라라고 생각하겠다돌하루방같은새기들ㅋㅋㅋㅋㅋ ㅅㄱ  ,애초 대가리 솔브케어 아마존 코인 모르 사람 아마존 이랑 파트너 구라 생각 돌하루방 새기
1,2021.10.27 00:00:04,이 나이먹고 부모님한테 아직도 용돈받고삼.. 인생망한거임? 메이플로 1500만원벌고 최근에 코인으로 천만원날림.인생 현자타임와서 학원이라도 다니면서 머라도 배우면서 사는중인데 매달 부모님한테 150씩 받는거 같다.이 나이먹고 마땅히 하는일도 없고 부모님한테 도움받고 사는데 진짜 현자타임 오거든 망한거 맞냐?내 나이 17살임 ,나이 부모 아직 용돈 인생 메이플 최근 코인 천만 날림 인생 현자 타임 학원 다니 배우 매달 부모 나이 마땅히 부모 도움 진짜 현자 타임 나이
2,2021.10.27 00:00:08,솔브 60% 내리고 10% 오르면 아xx 애x 외칠거냐? ㅋㅋㅋㅋㅋㅋ두뇌 풀가동 매수 했을텐데 어쩌누.. ,솔브 내리 오르 두뇌 풀가동 매수 어쩌
3,2021.10.27 00:00:13,파리 진지하게 일봉 봐라  ,파리 일봉
4,2021.10.27 00:00:27,느그들은 업비트 하루에 몇시간씩 보고있냐 올 때마다 항상 타이밍을 놓쳐  ,업비트 하루 마다 항상 타이밍
5,2021.10.27 00:01:00,연말 코인 가격.txt  ,연말 코인 가격
6,2021.10.27 00:01:00,바프 곧 일어나도 이상하지 않은 일들 1. 업빗 원상2. 코베 상장3. 바낸 상장 ,원상 코베 상장 상장
7,2021.10.27 00:01:02,오늘 머장 55k 가냐 마냐 ㅋㅋㅋ 솔브 씨발 같이 죽자 우리 깐부잖아 ㅋㅋ ,오늘 솔브
8,2021.10.27 00:01:21,솔브 하방은 여기서 끝내주겠다  ,솔브 하방 끝내
9,2021.10.27 00:01:23,베라시티 95층인데 언제 팔아야 하누 ㅈㄱㄴ ,베라 시티
10,2021.10.27 00:01:25,성지글) 지금 저점인 종목 2개 ㄹㅇ객관적인 팩트 반박시 코인접어야됨 온톨로지 리퍼리움공감시 개추반박시 코인접으셈 잃기만함 ,성지 지금 저점 종목 박시 코인 온톨로지 리퍼 감시 개추 박시 코인
11,2021.10.27 00:01:33,신세틱스 vs 누사이퍼 vs 솔브케어 vs 컴파운드 누가 이기냐?  ,신세 누사이퍼 솔브케어 파운드
12,2021.10.27 00:01:33,낮에 솔브 십년들ㅋㅋ 체인링크사건 언급하면서 얘기하니까 나보고 욕존나하더니 시발련들이 ㅋㅋ단타쳐서 50프로 먹고나왔는데 너넨 -80퍼되노 ?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ푸하하핳하이번주 술안주다 ㅋㅋ 사기꾼 전과 있는데 믿은너네가 븅 신 ㅋ ,솔브 체인 링크 사건 언급 얘기 보 발련 단타 프로 술안주 사기
13,2021.10.27 00:01:49,솔브 28일날 발표한다는건 어떤걸 발표한다는거야? ㅇㅇ  ,솔브 발표 발표
14,2021.10.27 00:01:57,엑시 위믹스는 급등인데 왜 설거지도없고 전고 팍팍뚫어줘? ,믹스 급등 설거지 전고
15,2021.10.27 00:02:04,아까 위믹스 어쩌고 하는애 어디감 ㅋㅋ ㅈㄴ 웃기넹 ㅋㅋㅋ ,아까 믹스 어쩌 웃기
16,2021.10.27 00:02:08,위믹스 팔았다가 ㅈ될뻔 휴 ,믹스
17,2021.10.27 00:02:24,솔브는 개미들 다 던지면 그때 부터 간다 130 사토시 까지 내리자 ,솔브 개미 던지 토시 내리
18,2021.10.27 00:02:36,한강에서 술먹고있는데  ,한강
19,2021.10.27 00:02:36,고체인 끝났냐 78에 쳐물렸네    ,고체
20,2021.10.27 00:02:37,머장 움직임이 예사롭지 않다 ㅋㅋㅋ ㅋㅋㅋㅋ ,움직임 예사
21,2021.10.27 00:02:50,고체인 단타새기들 땜에  70지키면서 종가마감 할듯 ,고체 단타 새기 지키 종가 마감
22,2021.10.27 00:02:52,코스모스가 오르는 이유?잘 보시오!@@ 제발  소식은 한발 빠르게  ,코스모스 오르 이유 제발 소식 한발 빠르
23,2021.10.27 00:02:54,수수료 생각하면 몇퍼 익절해야 좀 이득이냐 ㅅㅂ ㅠ  ,수수료 생각 이득
24,2021.10.27 00:02:58,자연미인 비주얼 원탑 모태솔로 여친정석 방탄 여동생 그룹  ,자연 미인 비주얼 원탑 모태 솔로 여친 정석 방탄 여동생 그룹
25,2021.10.27 00:03:07,와 고체인 지금 들어가는 저능아들도 있네 ㅋㅋㅋ 지금 가격에 들어가느니 솔브 박아라 어짜피 둘다 ㅂ. ㅅ인데지금가격에 고체인 들어가면그건 플라나리아 능지 ,고체 지금 저능아 지금 가격 느 솔브 박아 어짜피 지금 가격 고체 플라나리아 능지
26,2021.10.27 00:03:26,형님들 페이코인 장투어떤가요..?? 말구대로 장투요 .. ,페이 코인 가요 구대
27,2021.10.27 00:03:39,솔브 다 팔았으면 펑션 와라 느낌 왔다 느낌알재? 매번 팁 많이 줬으니까 알 사람들은 알거라 믿는다 ,솔브 펑션 느낌 느낌 많이 사람
28,2021.10.27 00:03:57,솔브에서 발표 직전에 40퍼먹고 나와서 바프 340원에탐 40퍼 밖에 못먹은거 아깝네 ㅋㅋ아 맞다 ㅋㅋ개쳐물린애들은 마이너스 몇프로려나ㅣ ㅋㅋ? ,솔브 발표 직전 퍼먹 아깝 마이너스 프로
29,2021.10.27 00:04:05,솔라나 24층인데 빼야되냐.. 무섭다.. ,솔라나 무섭
30,2021.10.27 00:04:06,고체인 팔아재끼는새기덜아 아 느그때문에 갈것도 안가잖아 시 팔 ,고체 새기
31,2021.10.27 00:04:09,머장 이새낀 질질싸네 그냥 병신새끼 1억은 지랄 그냥 ㅋㅋㅋ시발 7천만원대만 횡보해도고평가야 좆스캠새끼 ,질질 그냥 지랄 그냥 천만 대만 횡보 고평
32,2021.10.27 00:04:20,지금 급등 코인없냐? 머장년 한동안 저지랄 쌀거같은데 단타라도 좀 하자  ,지금 급등 코인 장년 한동안 지랄 단타
33,2021.10.27 00:04:26,솔브 -50 손절이냐 존버녀.. ,솔브 손절
34,2021.10.27 00:04:38,고체인 좆되면 솔브 양전이다 ㅋㅋ ㅋㅋ ,고체 솔브 양전
35,2021.10.27 00:04:41,고체인 오늘안쏠건가보다 내일다시타야겠당  ,고체 오늘 건가 보 내일
36,2021.10.27 00:05:01,엔진뭔데 호재있냐?  ,엔진 호재
37,2021.10.27 00:05:07,하락 GO ㅋㅋㅋ 이름 잘 지었네 ㅋㅋㅋ ㅋㅋㅋㅋ ,하락 이름
38,2021.10.27 00:05:25,강아지 분양가 올라가고 있어요  ,강아지 분양
39,2021.10.27 00:05:27,불과 몇일전 솔브 홀더들 ??? : 아마존 헬스케어 사업 하는 중인거 모르냐? 모르면 공부좀 해아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,불과 일전 솔브 홀더 아마존 스케어 사업 모르 모르 공부
40,2021.10.27 00:05:41,고체인 걍 100사토시 도전하는 자리인데 쫄보+단타 쉐리덜 때문에 가질못하노역프를 쳐끼고잇네무슨 ,고체 사토시 도전 자리 단타 쉐리 가질 못 노역
41,2021.10.27 00:06:02,솔브 이제 끝낫다 빙시들아   ,솔브 이제 시
42,2021.10.27 00:06:08,솔브 개발진들 @ㅐ미뒤진 고아같으면 개추 ㅋㅋ 일단 나부터 ㅋㅋ  ,솔브 개발 고아 개추
43,2021.10.27 00:06:14,고체인 튀어라 오늘안쏜다 내일다시타자  ,고체 오늘 내일 타자
