,date,data,result
0,2022.10.11 00:00:25,착한선동) 랠리 차트도좋아보이고 100~130% 예상임 새벽에 빨리타. 착한선동) 랠리 차트도좋아보이고 100~130% 예상임 새벽에 빨리타.,착한 선동 랠리 차트 보이 100 130 예상 새벽 빨리 착한 선동 랠리 차트 보이 100 130 예상 새벽 빨리
1,2022.10.11 00:03:18,크레딧 뭐냐고 시발 아,레딧 냐고
2,2022.10.11 00:03:41,이제 슬슬 시동거는듯 오늘 boba 오랜만에 10% 넘게 상승나왔는데UniDex에서 거래량 1위 찍어서 그런지 거래량도 계속 늘어나고이제 곧 있으면 올 회복장에서 본격적으로 출발하기전에 예열하는 느낌인데확실히 거래량이 늘어나니까 가볍게 움직이는듯,이제 슬슬 시동 오늘 boba 오랜만 10 상승 나왔 UniDex 거래량 어서 그런지 거래량 계속 늘어나 이제 으면 회복 본격 출발 예열 느낌 인데 확실히 거래량 늘어나 니까 가볍 움직이
3,2022.10.11 00:04:17,크래딧 시발 노렸네 노렸어 졸라털고 올려버리네개새기가 어차피 조진거 운동이나 하러간다,노렸 노렸 졸라 올려 버리 새기 어차피 조진 운동 이나 간다
4,2022.10.11 00:04:25,랠리 안타면 뭐타게  눌림목 아이이뻐라,랠리 눌림 이뻐라
5,2022.10.11 00:04:41,리플은 자비가 없다 400원대 다시 간다 팩트니깐 물린새끼들은 자살이나 하러가고,리플 자비 400 원대 간다 니깐 물린 자살 이나
6,2022.10.11 00:04:41,비트 운전수 칼로 찌르고싶으면 개츄ㅜ ㅇㄷㄴㅂㅌ,비트 운전수 찌르 으면 ㅇㄷㄴㅂㅌ
7,2022.10.11 00:06:25,칭찬해조. 이제 자러갈꺼야 ,칭찬 이제
8,2022.10.11 00:07:29,랠리기사입니다 1시전 기대하세요.,랠리 기사 입니다 기대 세요
9,2022.10.11 00:09:12,크레딧 질질싸는데  ㅋㅋ 설거지 지리네 ,레딧 질질 설거지 지리
10,2022.10.11 00:10:19,랠리말고 근데 탈거없음 어차피 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,랠리 탈거 어차피
11,2022.10.11 00:11:54,이클이새끼는 왜이렇게 질질 싸냐 ㅆ발 ㅋㅋ 좆같다,이클 질질 ㅆ발 좆같
12,2022.10.11 00:13:25,코인 시작 빚 700만원이면 상위 몇퍼냐 ??? 나 정도면 상위 몇퍼임 ???,코인 시작 700 상위 ? 정도 상위 ?
13,2022.10.11 00:14:24,크레딧형이다 오늘 네오핀 5천간다 ,레딧 오늘 간다
14,2022.10.11 00:14:35,업빗 스태픈은 계단식 하락 중인데 매수물량이 호가당 1억이 넘어가는데매집이라고 생각하면 됨??이렇게 내리다가 한번 크게 쐈다가 다시 내릴거란거임???,계단식 하락 인데 매수 물량 호가 넘어가 매집 라고 생각 내리 다가 다가 내릴 ?
15,2022.10.11 00:15:00,이제 곧 리플타임 ,이제 리플 타임
16,2022.10.11 00:15:38,비트방어력 디지네 우디르 리메이크 같노 ㄹㅇㅋㅋ 강화 w 존나 쓰네,비트 방어력 디지 우디 리메이크 ㅇㅋㅋ 강화
17,2022.10.11 00:18:09,이거 내려가기 싫어하는거 보니 횡보아니면 롱인거같다,내려가 횡보
18,2022.10.11 00:19:07,하이브 이ㅅㄱ야 기다렷다 ㅠ 간다,하이브 기다 렷 간다
19,2022.10.11 00:20:49,어우시발 한 두달이 지루해죽겠네 송치형 개객갸,어우 지루 송치
20,2022.10.11 00:21:20,나스닥 반등자리냐? 스위칭하면 신의한수 가능?,나스닥 자리 스위칭 한수 가능
21,2022.10.11 00:21:57,팬케이크 ㅋ,팬케이크
22,2022.10.11 00:22:47,숏타면 정말 힘들겠다,정말 힘들
23,2022.10.11 00:23:03,인생 망침당한 유튜버.JPG ,인생 망침 당한 튜버 JPG
24,2022.10.11 00:23:07,이캐시 탑승해라 가쥬아~~~,이캐시 탑승 해라 ~~~
25,2022.10.11 00:24:20,하이브 이 ㅅㄱ 또 ㅈㄹ이네 아 언제올라와 그만좀 눌러 ㅅㅂ아,하이브 올라와 그만 눌러
26,2022.10.11 00:27:05,지금이라도 움직여주니까 이더리움 머지 업데이트 전후로 boba가 pos지원한다고 공지 띄우면서 상승시킬 각 잡고 있었는데 떡락장이라 못올랐다가 지금이라도 상승하는거 보니까 이제 상승장만 돌아오면 그동안 빠진거 많이 회복해주겠지?,지금 라도 움직여 니까 이더리움 머지 업데이트 boba pos 지원 한다고 공지 띄우 면서 상승 시킬 올랐 다가 지금 라도 상승 니까 이제 승장 돌아 그동안 빠진 많이 회복
27,2022.10.11 00:28:17,11월에 중간선거 있다고 중장기 롱이라고 하는데 병신들이냐? 그건 투자라는걸 하는 새끼들은 다 아는거다 병신들아 금리인하를 하거나 금리동결이라고 하면 12월달 내년에 ㅈㄴ 올리겠지 씨발 그리고 미국인들은 뭐 빡대가리냐? 아니 경제가 씹창나는 상황속에서 뭣도 모르고 대체 왜 롱만 외쳐 걍 둘다 발라먹어 병신들아,11 중간 선거 다고 장기 라고 그건 투자 라는 금리 인하 거나 금리 동결 라고 12 내년 올리 미국인 대가리 경제 상황 모르 대체 외쳐 발라
28,2022.10.11 00:28:27,빗썸 펜케이크 안탄새기읍제ㅋㅋ1000퍼간다 ㅇㅇ,케이크 기읍 1000 간다 ㅇㅇ
29,2022.10.11 00:29:00,머장 하락을 위한 횡보 노답,하락 위한 횡보
30,2022.10.11 00:31:06,1년째 처내리고있네 ㅈ같은 머장새기 ㅉ,내리 장새
31,2022.10.11 00:31:08,전재산 2000 숏치고 떨어지면 같이떨어질까? ,재산 2000 떨어지 떨어질까
32,2022.10.11 00:32:58,틱 오르기 직전에 매도벽쌓는새끼 죽이고싶네 ㅋㅋㅋㅋㅋㅋ,오르 직전 매도 죽
