date,title,content,no
2022.08.13 00:01:35,앵커에 다시 다박고 잔다,내일이면 100원은 가겠지??,3228269
2022.08.13 00:01:44,앵커는 20퍼는 더떨어져. 선물 숏때매 확 못내릴뿐.,ㅇㅇ,3228271
2022.08.13 00:03:18,빗썸도 잡코펌핑좀 하나,할때됬는데 ,3228273
2022.08.13 00:04:02,롱 왤케 시원찮냐,ㅋㅋ흠 ,3228275
2022.08.13 00:04:23,12시 넘엇네,,3228276
2022.08.13 00:06:16,속보!!!!! 동대문 출발,다시가노,3228279
2022.08.13 00:09:26,내가숏탓다 이제 존나 오른다,,3228286
2022.08.13 00:10:32,에이피엠 매집이라 했다,아직 매집 덜됐다 이번에 쏜것도 걍 꼬라박아버릴수도 있음,3228288
2022.08.13 00:10:39,내가 볼땐 주말에 무조건 큰반등 나올듯,,3228289
2022.08.13 00:12:43,동대문 미친넘,N자반등가냐 ㄷㄷ,3228293
2022.08.13 00:13:07,여기가 좆망갤인가요?,,3228294
2022.08.13 00:13:41,광복절 기념 동대문 300원가냐,전고점가자 ,3228296
2022.08.13 00:15:25,동대문 50% 더 상승예정,지금이라도 ㄱ,3228299
2022.08.13 00:15:38,동대문 개같이 부활이네,미친쉑 ,3228300
2022.08.13 00:16:34,경주마 그래도 하나 있네,아발란체. ,3228304
2022.08.13 00:17:04,[속보]이더리움클래식 한국거래소에서 상장폐지 검토중.,조졌네,3228306
2022.08.13 00:17:32,어 뭐냐 나스닥,1퍼는 갈거가튼데 ㅇㅇ? ,3228307
2022.08.13 00:17:39,나스닥 개쩐다 존나쏜다,가즈아,3228308
2022.08.13 00:19:03,30살에 1억 들고있으면 열심히 산거란 평이 많네,40살엔 3~4억정도 들고있는게 평균이란 평이 많고 평균은 이렇게 거지새끼들 뿐인데 디씨엔 몇십억대 부자가 왤캐 많농 ,3228311
2022.08.13 00:19:19,황썸 김치먹고 빌딩샀다 이제 코인접을란다 ㅂㅂ2 4억으로 46억만듬,굳잡,3228312
2022.08.13 00:20:35,동대문 문상 1만원권 에이피엠 10만주로 구매가능??,제발 팔아주세요 ,3228314
2022.08.13 00:21:41,황썸에 업비트랑협업코인 사둬라 상장유력하니까,갓갓정보,3228316
2022.08.13 00:22:21,이더는 신이다,,3228318
2022.08.13 00:23:15,어떤코인에 넣어야 광복절때 많이올라감?,알려줘라 ,3228320
2022.08.13 00:23:28,요즘 코인 너무 즐겁다,무슨 시발 ㅋㅋ 롱만 치면 먹네 ,3228321
2022.08.13 00:24:13,이클 사나이테스트하고 다시 가는거냐, ,3228322
2022.08.13 00:24:23,동대문 오늘 50%가면 동대문에서 빤스벗는다,그런일 없음 ㅅㄱ링 ,3228323
2022.08.13 00:26:09,동대문보니 엑시 떠오르네,엑시도 상장 고점 뚫고 더 날아갔지동대문 300원뚫으면 천원각,3228326
2022.08.13 00:30:08,단기조정에 손절한 병신들만 개추 ㅋㅋㅋㅋ,하 난 먹을 자격 있다 ㅋㅋㅋ 32k 드가자 ㅋㅋㅋ ,3228334
2022.08.13 00:30:11,황더리움,앞으로 코인 대장은 비트가 아니라 이더리움이다알겠냐?,3228335
2022.08.13 00:30:58,나스닥 그래프 어디서봄??,실시간으로 움ㅈㄱ이는 차트 찾기가 어렵네,3228336
2022.08.13 00:31:16,여기서 안 멈출 거 같은데,라고 적고있는데 날아가네 ,3228338
2022.08.13 00:31:55,동대문이뭐냐,뭐임?? ,3228341
2022.08.13 00:37:39,나스닥 한발 더 빼나,두근두근 ,3228349
2022.08.13 00:38:17,왜 숏쳤을까 시발,1분만 더기달렸으면 숏안갔을텐데 왜 인내심없이 바로 숏쳐버렸냐 ㅅㅂ ,3228351
2022.08.13 00:38:56,손절하고 롱갔다 ㅋㅋㅋㅋ,기모띠이,3228353
2022.08.13 00:39:47,ㅋㅋㅋㅋㅋㅋ씨발 9%쏘는데 계속 보고있으니까 다시 0%오네,ㅋㅋㅋㅋ어이가없다,3228356
