date,title,content,no
2022.12.28 0:00,지금 고점알트들 횡보하는거보니,,3777188
2022.12.28 0:01,비트코인 인생 최저점 풀매수 30억가즈아ㅏㅏㅏ ,ㅅ,3777189
2022.12.28 0:01,비트는바닥이맞다,갈라고 바닥다지면서 횡보중인대 병신같은잡코인들이 비트따라버티니까 다떨구고 시장에 개미들자금 말라버리면그때간다 비트0.5%만빠져두 솔라나같은 시총만큰 개병신잡꼬 신저점 갱신중ㅋㅋ,3777190
2022.12.28 0:01,지금 자면 ㅈ될거같다 개추 ㅋㅋㅋㅋ,일단 나부터 ㅋㅋㅋㅋ,3777192
2022.12.28 0:03,진짜 렌숏 좆될수있음,,3777194
2022.12.28 0:04,날도 추워서 폐지줍는것도 힘들다,비트마트 증정금 건지고 이제 빗파이 증정금 건지는중둘다 출금은 잘되더라 ㅋㅋ ,3777195
2022.12.28 0:05,나스닥 ㅈㄴ빠지네ㅋㅋ,근데 비트는 뭐하냐 진짜 죽었나?,3777197
2022.12.28 0:05,오늘의 목표 수익 달성 다들 화이팅,어젠 13.93% 오늘은 6.81% ,3777198
2022.12.28 0:05,유튜버들이 오늘 반등나온단다 다들 튀어라,유튜버새끼들 설레발 친다 100개 반등온다고 외치다 하나 걸리면 여러분 제말이 맞죠? 이지랄 ㅋㅋㅋㅋㅋㅋㅋㅋ낮 업로드 유튜브 보니 오늘밤 반등온다고 지럴들한다 좆됬다 다 튀어라 이새끼들말 하나도 안맞음,3777200
2022.12.28 0:06,플레이댑 얘는 시발 코인맞냐? 도지보다 씹스캠이노 ㅋㅋㅋ,업비트코인중에 이새끼가 가장먼저 상폐당할거같음 ㅋㅋㅋㅋ차트존나웃기노근데 아직도 4천만개 물량이 더풀려야함ㅋㅋㅋㅋ,3777201
2022.12.28 0:06,아 시발 숏칠걸,내돈 시발,3777202
2022.12.28 0:06,ㅋㅋㅋ우리 백수새기들 도박판 문닫게 생겨서 우짜누 ㅋㅋㅋㅋㅋ,뉸물나겄누 ㅋ,3777203
2022.12.28 0:06,쫄지마 병신들아 중요한건,꺽이지않은 시드! 뎃카이!,3777204
2022.12.28 0:06,에이다 시발ㅋㅋㄱ300원대 ㅋㄲㄱㅋㄱㄱㄱㄱㄱ ㄱㅋ,ㅋ ,3777205
2022.12.28 0:07,입만산것들 ㅋㅋㅋ,,3777207
2022.12.28 0:07,비토 7원 ㄹㅈㄷ,슬슬 주우면서 3년묵혀간다 수고해라 ,3777208
2022.12.28 0:07,렌 펀비먹기 성공 ㅋㅋㅋ,5초 전에 들어가서 펀비 쳐먹고 양전되자마자 시장가 던지고 나왔음 3프로 3분만에 먹기 개꿀 ㅎ,3777210
2022.12.28 0:08,남자 심리좀,직장에서 남자1은 입사 일주일만에퇴사해버림그러자 동기 셋이나 남자1에게 안부연락이 오고남자1에게 안부연락한 셋중 한명(남자2)은 계속 남자1과 연락을 유지하고 싶어함. 겨우 일주일 같이 있었는데남자2는 왜 남자1과 계속 앞으로도 연락유지하길 바란거냐??,3777211
2022.12.28 0:08,걍횡보야~ㅋㅋ,ㄱ ,3777212
2022.12.28 0:09,샌박 만원이던게 500원 시발 ㅋㅋㅋㄱㄱㅋ,ㄱㅋㅋㅋ ,3777213
2022.12.28 0:09,투자할거면 코스피를 사던가 ㅡㅡ,아니왜 이런 막장판에 기어와서 외화유출을 하냐고 ㅡㅡ물려도 코스피에 물려서 애국이나해라 한심한놈들아 ㅡㅡ,3777214
2022.12.28 0:10,오늘 내일내로 푹 싸겠네,반복되는 패턴또 밑바닥에서 잘주으면 맛나겠네,3777216
2022.12.28 0:10,진짜 시발 작년 연말이 그립다,작년엔 1억가네 마네햇엇는데올해는 천만찍네 마네 하고있네 시발,3777217
2022.12.28 0:10,-1%에서 손절하고 숏으로 바꿨어야했는데,-10퍼 찍었네 개씨발거,3777218
2022.12.28 0:11,형들 코린인데,,3777221
2022.12.28 0:12,진짜 렌은 잘생각해야대 ,,3777223
2022.12.28 0:14,뭐 떨어진것도 없는데 왜 호들갑이냐,전알트 -30퍼 일때 못봄? 지금은 걍 애교야지금 손절하는 새끼는 돈 평생 못번다,3777225
2022.12.28 0:15,와 알트 벌레들 버티는거봐 ㅈ나 역하네 ㅋㅋㅋㅋㅋㅋㅋㅋ,가치 1원도 안되는새끼들이,3777227
2022.12.28 0:15,괜한걱정하고 있네 ㅋㅋㅋ,야 니네가 지금 벌어봐야 노동자 근로자 못벗어나다잃고 하던거 꼴면 그만하고 개겨다들돈없어서 그지되있으면나라망하니까 돈풀꺼야ㅋㅋ더열심히 할것도없고 다시시작할 필요도없어그냥 나라 망하게끔 밑빠진독에 물붓기 하게끔절대 일하지말고 돈갚지말고  공짜밥이나 먹고 공짜로 해주는거나 받고끝까지 존버해서 나라 망하게 만들어라겨우 니푼돈으로 나라를 망하게하는 방법이다,3777228
2022.12.28 0:15,신들렷나,이더 숏 10프로 먹고바로 롱 스위칭 수익 달달허다내일 양봉떠주는것만 받아먹고 다시 숏 쳐야지 ㅋㅎㅋ 개꿀,3777229
2022.12.28 0:15,엑시 전설의귀환 출발한다 1.5만행,ㅅㅅㅅ ,3777230
2022.12.28 0:15,적금 금리가 6%나 되는데도 돈까먹는것도 능력이다 ,가만히 숨만쉬고있어도 돈을버는데 오히려 까먹는건 진짜 할말이 없다,3777231
2022.12.28 0:16,테슬라보다 벌레 비트코인이 덜빠짐 ㅋㅋㅋㅋ,미쳐 ㅋㅋㅋ,3777234
2022.12.28 0:17,엑시출발ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ ,3777237
2022.12.28 0:17,ㅈㄴ씹저점잡앗다 평생갖고간다ㅋㅋ 롱ㄱ,ㄱ ,3777238
2022.12.28 0:17,2022/12/22~2022/12/23매매일지,,3777239
2022.12.28 0:18,전문가들 이더리움 심각한 고평가 머지 거품 ㅋㅋㅋㅋㅋㅋ,저걸로 두달 시간끌면서 버텼다며 ㅂㅅ련,3777240
2022.12.28 0:18,렌 청산비율,,3777242
2022.12.28 0:19,역시결국횡보 디비자자,ㄱ ,3777244
2022.12.28 0:19,홍금보다 개추 20개시 비트코인갤러리 떠난다,즉시 떠난다즉시즉시즉사새기들아 좀 20개만 해봐 ㅅㅍ,3777245
2022.12.28 0:20,비트 구라안까고 400만원갈거같다,걍 코인 끝난듯,3777246
2022.12.28 0:21,머리가 딸리니까 발광을하지 ㅋㅋㅋ,야 화물연대나 민주노총 처럼비트 1억 안가면 일안한다 아무것도 안한다 하고대규모집회 시위하면 나라에서 비트1억 만들어줄껀데뭐하러 일하려하고 발광하냐?추우니까 굳이 안모여도되 그냥 청와대 계시판에 주식 코인 개미들이글올려라 코스피3000 돌파 비트1억 되기전에는아무런 경제활동 안하고 공짜밥차만 먹고 놀꺼라고 나라가 알아서 조작해서라도 올려준다,3777248
2022.12.28 0:21,개미털린 흑우 없제 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋ,3777250
2022.12.28 0:21,씹스캠 나스닥 쏜다,자 드가자! ,3777251
2022.12.28 0:21,대가리터진 숏츙이새기들 읍제 ? ㅋㅋㅋㅋ,ㅋㅋㅋㅋ ,3777252
2022.12.28 0:21,비트코인이 차세대 금이라면,금리인상 및 경제위기일때 오히려 상승해야 하지 않냐? 애~미 디지털쪼가리새끼ㅋㅋㅋ ,3777253
2022.12.28 0:22,찐ㅡㅡㅡㅡㅡㅡ반,불장 스타트,3777254
2022.12.28 0:22,☆좆비트는 이게 왜 투자자보호인지 설명해라ㅋㅋ☆,,3777255
2022.12.28 0:23,예상) 세력들 시나리오,펀비이전에 미리롱물량 털고 바로 롱진입ㅋㅋㅋㅋㅋㅋㅋㅋ,3777256
2022.12.28 0:24,띨띨한애들 진짜많네ㅋㅋ,,3777260
2022.12.28 0:24,비토 존나수상하네 종이쪼가리새끼,8원에 일단 100만원 사놨는데 이새끼 20억넘게 갑자기 매도했다가 왜다시 잡아올림? 세력새끼 매도버튼 잘못누른거노 ,3777261
2022.12.28 0:24,아으 시발 투자의 원칙을 알고있는데도 못지키겠네,좆같은거,3777262
2022.12.28 0:25,이전에 메탈의 경우,펀비시간 한참전부터 올렸음 근대 이번엔? ,3777263
2022.12.28 0:26,씨발 근 몇달만에 찐반이냐 이거제 드가자 씨바끄!,ㅋ,3777266
2022.12.28 0:26,코인 망한게 홍금보때문이면 개추ㅋㅋ,ㄱㅊ ㅇ,3777267
2022.12.28 0:27,진자 무빙 불순하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,3777268
2022.12.28 0:29,주식 코인 잃은애들봐라,,3777271
2022.12.28 0:30,홍금보다 다른갤러리 다녀왔다,너희들이 빗갤 떠나라고 해서 잠시 떠났었다.다시 떠났으면 좋겠으면 - 개추아니다 금보야 너가 없으면 빗갤 망한다 - 비추비추많으면 다시 돌아온다,3777273
2022.12.28 0:31,ren 결말,고배숏 청산시키고 내려갈거임 ,3777275
2022.12.28 0:31,사나이테스트 그거 누가지은거냐 시밤 ㅋㅋㅋㅋ,아 존나웃기넼ㅋㅋㅋㅋㅋㅋ 누가자꾸 사나이테스트랰ㅋㅋㅋㅋㅋㅋㅋ 웃겨서 밤새웃엇잖앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3777276
2022.12.28 0:31,우리 게이들 일희일비하는게 웃기네,선물하지마라 심신 피폐해짐 ㅇㅇ,3777277
2022.12.28 0:32,산타출근한다,ㅇ ,3777278
2022.12.28 0:32,업비트거래량 참담하다,이딴게 국내1위? ,3777280
2022.12.28 0:33,비트 빨리 뒤져라고 !!!,,3777282
2022.12.28 0:34,홍금보다 이만 공부하러간다 형은제임스딘이다 ㅅㄱ,홍금보가 제임스딘처럼 생겼다면 개추해라 ㅅㄱ,3777285
2022.12.28 0:34,2022/12/24~2022/12/26매매일지,,3777286
2022.12.28 0:35,리플에60박아놨으니깐다음달15일안으로1억만들어놔라ㅡㅡ,니기미,3777289
2022.12.28 0:36,모가 보여?,,3777290
2022.12.28 0:39,이거 사나이테스트인데 아직도 속는 흑우없제?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 반감기지나면 1억간다 꽉붙잡고 있어라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3777294
2022.12.28 0:40,리플60에박아뒀으니깐 1억만 만들고 코인판떠난다 ,알아서올려놔라ㅡ,3777297
2022.12.28 0:42,야 지금 경기북부거든 고양시,전투기 지나감;;;,3777299
2022.12.28 0:42,렌 펀딩피 0.8%먹어보자,양방가능한 사람만 할수있다 계좌가 100달러면 buy 40 sell 40 여유 20으로 설정한다59분 45초에 40으로 x20배에 cross로 op.en buy로 매수한다펀딩비가 40x20x0.8%=6.4다이 걸 먹으려는 것이다 너무 소소하지만 안전하다는 것이다매수해 펀비먹고1시 10초에 cross로 op.en sell로 양방들어간다 그리고 주문이 안정이 될때까지 기다린다 적어도 한시간 정도 지난후에 둘다 청산한다100을 투자해 대략 6정도 먹을것이다 앞으로 가끔 한번씩하면 굳이 위험한 매매할 필요없을것 같다,3777300
2022.12.28 0:43,ㅈ비트 투자자보호 호소하는놈 봐라,니가 올리는 종목들이 ㅅㅂ 투자종목이냐 투기종목이지,3777302
2022.12.28 0:44,렌펀비 떨어진거 수상한데 ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3777303
2022.12.28 0:45,리플 한파 더 올라가겠노 저기서 올린거보니ㅋㅋ500넘어서매도한다,ㅇㅇ,3777305
2022.12.28 0:45,이제 60배도 저배같고 뇌에 자극이 안온다…,,3777306
2022.12.28 0:46,비트씨발럼 쳐박기만하는게 펀비는 양이네,병신색기,3777308
2022.12.28 0:48,리플에60박아놨으니깐다음달15일안으로1억만들어놔라ㅡㅡ,,3777312
